state,2019proj_pop_total,2019proj_pop_male,2019proj_pop_female,2020proj_pop_total,2020proj_pop_male,2020proj_pop_female,2021proj_pop_total,2021proj_pop_male,2021proj_pop_female,2017perc_above60_total,2017perc_above60_male,2017perc_above60_female,2017perc_above60_rural,2017perc_above60_rural_male,2017perc_above60_rural_female,2017perc_above60_urban,2017perc_above60_urban_male,2017perc_above60_urban_female,2016_2020proj_birth_rate,2016_2020proj_death_rate,2017death_rate_total,2017death_rate_male,2017death_rate_female,2017death_rate_rural,2017death_rate_rural_male,2017death_rate_rural_female,2017death_rate_urban,2017death_rate_urban_male,2017death_rate_urban_female,2016_2020expectation_life_male,2016_2020expectation_life_female,2017infant_mortality_rate_total,2017infant_mortality_rate_male,2017infant_mortality_rate_female,2017infant_mortality_rate_rural,2017infant_mortality_rate_rural_male,2017infant_mortality_rate_rural_female,2017infant_mortality_rate_urban,2017infant_mortality_rate_urban_male,2017infant_mortality_rate_urban_female,2011literacy_rate_total,2011literacy_rate_rural,2011literacy_rate_urban,2011literacy_rate_male,2011literacy_rate_male_rural,2011literacy_rate_male_urban,2011literacy_rate_female,2011literacy_rate_female_rural,2011literacy_rate_female_urban,2011_2012poverty_perc_rural,2011_2012poverty_no_rural,2011_2012poverty_perc_urban,2011_2012poverty_no_urban,2011_2012poverty_perc_total,2011_2012poverty_no_total,2015_2016domestic_product,2018_Malaria_case,2018_Malaria_death,2018_Dengue_case,2018_Dengue_death,2018Typoid_male_case,2018Typoid_male_death,2018Typoid_female_case,2018Typoid_female_death,2018Typoid_total_case,2018Typoid_total_death,2018acute_resp_infect_male_case,2018acute_resp_infect_male_death,2018acute_resp_infect_female_case,2018acute_resp_infect_female_death,2018acute_resp_infect_total_case,2018acute_resp_infect_total_death,2018Pneumonia_male_case,2018Pneumonia_male_death,2018Pneumonia_female_case,2018Pneumonia_female_death,2018Pneumonia_total_case,2018Pneumonia_total_death,2018NCD_attended,2018Diabetes,2018Hypertension,2018HTNandDM,2018CVDs,2018Stroke,2018CommonCancers,2015-2016Mothers_antenatal_checkup_first_trimester,2015-2016Mothers_4antenatal_care_visits,2015-2016Mothers_whose_last_birth_protected_neonatal_tetanus7,2015-2016Mothers_consumed_iron_folic_acid,2016-2016Mothers_full_antenatal_care8,2015-2016Mothers_postnatal_care,2015-2016Children_12-23m_fully_immunized,2015-2016Children_12-23m_BCGvaccine,2015-2016Children_12-23m_poliovaccine,2015-2016Children_12-23m_DPTvaccine,2015-2016Children_12-23m_measlesvaccine,2015-2016Children_12-23m_HepatitisBvaccine,2015-2016Children_9-59m_vitaminA,2015-2016public_expenditure_medical_PH_UHS,2015-2016public_expenditure_medical_PH_RHS,2015-2016public_expenditure_medical_PH_MERT,2015-2016public_expenditure_medical_PH_PH,2015-2016public_expenditure_medical_PH_Misc,2015-2016public_expenditure_medical_PH_Total,2015-2016public_expenditure_FamilyWelfare_UFWS,2015-2016public_expenditure_FamilyWelfare_RFWS,2015-2016public_expenditure_FamilyWelfare_MCH,2015-2016public_expenditure_FamilyWelfare_Misc,2015-2016public_expenditure_FamilyWelfare_Total,2015-2016public_expenditure_other,2015-2016public_expenditure_total,2015-2016expenditure_health,2015-2016expenditure,2015-2016health_over_total,2015-2016pop,2015-2016GSDPcurrentprices,2015-2016expenditure_health_percap,2015-2016expenditure_health_perGSDP
Andhra Pradesh,90330,45293,45037,90949,45591,45359,91549,45880,45669,9.5,9.8,9.3,10.3,10.5,10,7.8,8.1,7.5,15.1,7.7,7.2,8.1,6.4,8.1,9,7.1,5.3,5.8,4.6,68.4,72.1,32,31,33,36,35,36,23,22,25,67,60.4,80.1,74.9,69.4,85.8,59.1,51.5,74.4,11,61.8,5.8,17,9.2,78.8,108163,6034,0,4011,0,75790,4,72700,3,148490,7,1577483,380,1572414,207,3149897,587,20203,224,17546,141,37749,365,1382857,391843,399094,78292,9585,2578,5705,82.4,76.3,95,56.2,43.9,79.7,65.3,97.3,72.3,89,89.4,68.8,72.1,2007,888,373,343,243,3853,0,175,48,1131,1354,140,5347,5013,106638,4.7,4.95,609934,1013,0.82
Arunachal Pradesh,1354,711,642,1367,718,649,1379,724,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6.6,5.7,6.4,6.9,5.9,4.9,5.1,4.7,NA,NA,42,40,45,NA,NA,NA,NA,NA,NA,65.4,59.9,82.9,72.6,67.4,88.4,57.7,52,76.7,38.9,4.2,20.3,0.7,34.7,4.9,122466,625,0,1,0,1291,0,1167,0,2458,0,17723,0,15945,0,33668,0,403,0,304,0,707,0,185801,8220,16244,1381,268,332,862,37,26.8,64.1,8.3,3.6,28.9,38.2,70.9,53.7,52.3,54.6,40.9,39.4,165,226,5,68,26,490,2,5,0,19,25,21,536,673,11740,5.73,0.13,20433,5177,3.29
Assam,33516,17150,16366,33856,17317,16539,34183,17478,16705,6.6,6.9,6.2,6.2,6.5,6,8.4,9.2,7.6,19,7.8,6.5,7.1,5.9,6.7,7.3,6.1,5.3,2.9,4.6,65.6,66.8,44,41,46,46,44,49,21,21,22,72.2,69.3,88.5,77.8,75.4,91.8,66.3,63,84.9,33.9,92.1,20.5,9.2,32,101.3,60526,3816,2,166,0,10663,48,5810,35,16473,83,13634,182,10466,79,24100,261,10117,92,6458,43,16575,135,245988,24915,50765,5067,1548,1057,400,55.1,46.5,89.9,32,18.1,54,47.1,82.3,56,66.5,71.4,52,51.3,292,1727,411,180,28,2638,3,170,14,37,224,2,2864,4992,70428,7.09,3.23,226276,1546,2.21
Bihar,107293,55315,51978,108372,55833,52539,109431,56341,53091,6.4,6.4,6.3,6.1,6.1,6,8.1,8.4,7.8,19.7,6.6,5.8,5.7,5.9,5.9,5.8,6,5.4,5.2,5.5,69.6,70.2,35,34,37,36,34,38,31,29,33,61.8,59.8,76.9,71.2,69.7,82.6,51.5,49,70.5,34.1,320.4,31.2,37.8,33.7,358.2,31454,1198,0,2142,0,69642,1,59980,0,129622,1,479878,0,496303,2,976181,2,11653,16,8429,9,20082,25,152510,47337,24774,6402,660,163,17,34.6,14.4,89.6,9.7,3.3,42.3,61.7,91.7,72.9,80.2,79.4,65.5,62.3,1917,1737,474,79,0,4206,2,330,4,29,365,82,4653,5067,128706,3.94,10.33,381501,491,1.33
Chhattisgarh,26782,13441,13341,27066,13584,13483,27337,13719,13618,7.1,6.6,7.5,7.3,6.9,7.8,6.2,5.8,6.6,NA,NA,7.5,8.2,6.9,8.1,8.7,7.5,5.6,6.3,4.9,NA,NA,38,39,37,40,41,38,32,31,33,70.3,66,84,80.3,77,90.6,60.2,55.1,77.2,44.6,88.9,24.8,15.2,39.9,104.1,84767,77140,26,2674,10,31970,3,28194,1,60164,4,234641,12,224187,3,458828,15,3506,26,2978,21,6484,47,714609,101739,59909,21226,1786,357,2905,70.8,59.1,94.3,30.3,21.7,63.6,76.4,98.4,81.7,91.4,93.9,76.4,70.2,743,1465,167,146,7,2528,2,162,0,17,181,45,2754,3480,65898,5.28,2.57,260776,1354,1.33
Goa,2117,1164,952,2170,1204,966,2232,1249,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.9,5.5,7.2,7.7,6.7,5.4,6.2,4.6,NA,NA,9,10,8,NA,NA,NA,NA,NA,NA,88.7,86.6,90,92.6,91.7,93.2,84.7,81.6,86.6,6.8,0.4,4.1,0.4,5.1,0.8,327059,377,0,335,1,286,0,244,0,530,0,44701,43,43863,10,88564,53,1511,50,1287,24,2798,74,507413,8431,6609,7529,1430,1053,53,84.4,89,96.2,67.4,63.4,92.1,88.4,-100,92.9,94.2,96.5,85.2,89.5,289,103,88,50,31,562,0,10,0,2,12,1,575,729,12010,6.07,0.2,54275,3643,1.34
Gujarat,64891,34309,30582,65532,34674,30858,66139,35020,31119,8.4,7.6,9.3,8.7,7.9,9.7,8,7.3,8.7,15.1,6.4,6.2,6.8,5.6,6.9,7.9,5.8,5.5,5.5,5.4,70.7,73.7,30,30,30,36,36,35,22,20,23,78,71.7,86.3,85.8,81.6,91,69.7,61.4,81,21.5,75.4,10.1,26.9,16.6,102.2,141504,21327,2,7579,5,28024,1,28366,0,56390,1,1135901,3,1074755,0,2210656,3,2847,2,2312,1,5159,3,3997656,154504,159007,62043,10107,6097,72169,73.9,70.6,86.8,36.8,30.7,63.4,50.4,87.9,62.3,72.7,75,38.6,71.2,3034,1213,522,1466,35,6270,108,253,324,170,855,74,7199,7432,126821,5.86,6.25,1025188,1189,0.72
Haryana,28631,15536,13095,29002,15743,13259,29362,15944,13418,7.4,6.9,8,7.6,7,8.2,7.1,6.6,7.5,16,6.4,5.8,6.5,5,6.3,7.1,5.4,5,5.5,4.4,69.9,72.5,30,28,31,32,31,33,25,24,26,75.6,71.4,83.1,84.1,81.6,88.6,65.9,60,76.9,11.6,19.4,10.3,9.4,11.2,28.8,162034,3147,0,1898,0,29213,4,26485,3,55698,7,535459,28,523757,10,1059216,38,7843,23,6200,11,14043,34,1292849,91324,105020,41019,2827,625,1221,63.2,45.1,92.3,32.5,19.5,67.3,62.2,92.8,75.3,76.5,79,54.3,66.7,785,862,555,179,2,2384,3,101,7,30,141,181,2706,3055,85037,3.59,2.73,485184,1119,0.63
Himachal Pradesh,7259,3725,3534,7311,3753,3557,7361,3781,3580,11.1,10.8,11.4,11.3,11,11.6,9,9,9,NA,NA,6.6,7.7,5.5,6.8,8,5.7,4,4.5,3.5,NA,NA,22,22,23,NA,NA,NA,NA,NA,NA,82.8,81.9,91.1,89.5,89.1,93.4,75.9,74.6,88.4,8.5,5.3,4.3,0.3,8.1,5.6,134376,98,0,4672,7,11894,2,13927,3,25821,5,752328,97,842624,48,1594952,145,6535,62,6250,45,12785,107,260164,77845,99432,30312,2150,213,453,70.5,69.1,86.3,49.4,36.9,70.2,69.5,94.8,82.4,85,87.5,74.1,64.3,357,476,262,34,0,1129,10,72,0,206,288,116,1533,1894,28373,6.67,0.71,112852,2667,1.68
Jammu and Kashmir,12780,6651,6130,12888,6701,6187,12987,6747,6240,9.3,9.2,9.3,8.8,8.8,8.9,10.2,10.2,10.1,NA,NA,4.8,5.4,4.2,5.1,5.6,4.5,4.3,5,3.5,NA,NA,23,22,24,24,24,24,19,18,21,67.2,63.2,77.1,76.8,73.8,83.9,56.4,51.6,69,11.5,10.7,7.2,2.5,10.3,13.3,74653,161,0,214,0,21139,0,18861,0,40000,0,474236,0,433521,0,907757,0,6962,3,6356,6,13318,9,220441,23486,39504,9328,2061,1013,387,76.8,81.4,87.5,30.2,26.8,74.9,75.1,95.6,83.8,88.1,86.2,70.3,64.7,316,919,554,75,0,1863,0,17,0,43,60,31,1954,2925,49294,5.93,1.24,119093,2359,2.46
