"","District","Area(km2)"
"1","Thane","9,558"
"2","North Twenty Four Parganas","4,094"
"3","Bangalore","2,196"
"4","Pune","15,643"
"5","Mumbai Suburban","446"
"6","South Twenty Four Parganas","9,960"
"7","Barddhaman","7,024"
"8","Ahmadabad","8,107"
"9","Murshidabad","5,324"
"10","Jaipur","11,143"
"11","Nashik","15,530"
"12","Surat","4,549"
"13","Allahabad","5,482"
"14","Paschim Medinipur","9,368"
"15","Patna","3,202"
"16","Hugli","3,149"
"17","Rangareddy","7,493"
"18","Nadia","3,927"
"19","East Godavari","10,807"
"20","Purbi Champaran","3,968"
"21","Purba Medinipur","4,713"
"22","Guntur","11,391"
"23","Haora","1,467"
"24","Muzaffarpur","3,172"
"25","Belgaum","13,433"
"26","Moradabad","3,718"
"27","Ghaziabad","1,179"
"28","Nagpur","9,892"
"29","Chennai","175"
"30","Azamgarh","4,054"
"31","Lucknow","2,528"
"32","Kanpur Nagar","3,155"
"33","Ahmadnagar","17,048"
"34","Krishna","8,727"
"35","Kolkata","185"
"36","Jaunpur","4,038"
"37","Madhubani","3,501"
"38","Sitapur","5,743"
"39","Bareilly","4,120"
"40","Gorakhpur","3,321"
"41","Agra","4,041"
"42","Gaya","4,976"
"43","Solapur","14,895"
"44","Visakhapatnam","11,161"
"45","Samastipur","2,904"
"46","Jalgaon","11,765"
"47","Chittoor","15,152"
"48","Vadodara","7,546"
"49","Muzaffarnagar","4,008"
"50","Malappuram","3,554"
"51","Hardoi","5,986"
"52","Anantapur","19,130"
"53","Raipur","12,383"
"54","Kurnool","17,658"
"55","Mahbubnagar","18,432"
"56","Kheri","7,680"
"57","Kancheepuram","4,483"
"58","Maldah","3,733"
"59","Saran","2,641"
"60","Hyderabad","217"
"61","Darbhanga","2,279"
"62","West Godavari","7,742"
"63","Vellore","6,075"
"64","Pashchim Champaran","5,228"
"65","Kolhapur","7,685"
"66","Jalpaiguri","6,227"
"67","Rajkot","11,198"
"68","Sultanpur","4,436"
"69","Karimnagar","11,823"
"70","Thiruvallur","3,394"
"71","Aurangabad (Maharashtra)","10,107"
"72","Jodhpur","22,850"
"73","Bijnor","4,561"
"74","Budaun","5,168"
"75","Varanasi","1,535"
"76","Alwar","8,380"
"77","Aligarh","3,650"
"78","North West Delhi","443"
"79","Ghazipur","3,377"
"80","Bankura","6,882"
"81","Kushinagar","2,905"
"82","Ganjam","8,206"
"83","Warangal","12,846"
"84","Birbhum","4,545"
"85","Bulandshahr","4,512"
"86","Ludhiana","3,578"
"87","Vaishali","2,036"
"88","Nalgonda","14,240"
"89","Bahraich","5,237"
"90","Salem","5,237"
"91","Saharanpur","3,689"
"92","Viluppuram","7,194"
"93","Coimbatore","4,732"
"94","Meerut","2,559"
"95","Gonda","4,003"
"96","Sitamarhi","2,294"
"97","Rae Bareli","4,609"
"98","Prakasam","17,626"
"99","Nanded","10,528"
"100","Durg","8,535"
"101","Siwan","2,219"
"102","Nagaur","17,718"
"103","Thiruvananthapuram","2,189"
"104","Ernakulam","3,063"
"105","Indore","3,898"
"106","Purnia","3,229"
"107","Bara Banki","4,402"
"108","Ballia","2,981"
"109","Pratapgarh (Uttar Pradesh)","3,717"
"110","Thrissur","3,027"
"111","Banas Kantha","10,743"
"112","Unnao","4,558"
"113","Deoria","2,540"
"114","Kozhikode","2,345"
"115","Mumbai","157"
"116","Tirunelveli","6,693"
"117","Katihar","3,057"
"118","Udaipur","11,724"
"119","Madurai","3,710"
"120","Bhagalpur","2,569"
"121","Medak","9,699"
"122","Uttar Dinajpur","3,140"
"123","Shahjahanpur","4,388"
"124","Satara","10,480"
"125","Mysore","6,307"
"126","Begusarai","1,918"
"127","Sri Potti Sriramulu Nellore","13,076"
"128","Rohtas","3,881"
"129","Puruliya","6,259"
"130","Ranchi","5,097"
"131","Amravati","12,210"
"132","Y.S.R.","15,359"
"133","Bhavnagar","10,034"
"134","Nalanda","2,355"
"135","Nagaon","3,973"
"136","Sangli","8,572"
"137","Koch Bihar","3,387"
"138","Araria","2,830"
"139","Palakkad","4,482"
"140","Khammam","16,029"
"141","Yavatmal","13,582"
"142","Junagadh","8,831"
"143","Adilabad","16,105"
"144","South Delhi","247"
"145","Bhojpur","2,395"
"146","Tiruchirappalli","4,509"
"147","Srikakulam","5,837"
"148","Mahrajganj","2,952"
"149","Dhanbad","2,040"
"150","Tumkur","10,597"
"151","Sikar","7,732"
"152","Bilaspur (Chhattisgarh)","8,272"
"153","Kollam","2,483"
"154","Raigarh (Maharashtra)","7,152"
"155","Fatehpur","4,152"
"156","Cuttack","3,932"
"157","Cuddalore","3,703"
"158","Barmer","28,387"
"159","Buldana","9,661"
"160","Bid","10,693"
"161","Ajmer","8,481"
"162","Gulbarga","10,954"
"163","Gopalganj","2,033"
"164","Siddharthnagar","2,895"
"165","Nizamabad","7,956"
"166","Bharatpur","5,066"
"167","Mathura","3,340"
"168","West Delhi","130"
"169","Aurangabad (Bihar)","3,305"
"170","Kannur","2,961"
"171","Mayurbhanj","10,418"
"172","Firozabad","2,407"
"173","Mirzapur","4,405"
"174","Amritsar","2,683"
"175","Tiruppur","5,187"
"176","Faizabad","2,341"
"177","Tiruvannamalai","6,188"
"178","Basti","2,688"
"179","Jabalpur","5,211"
"180","Latur","7,157"
"181","Bellary","8,461"
"182","Giridih","4,962"
"183","Sabar Kantha","7,394"
"184","Bhilwara","10,455"
"185","Thanjavur","3,411"
"186","Ambedkar Nagar","2,350"
"187","Panch Mahals","5,231"
"188","Sagar","10,252"
"189","Bhopal","2,772"
"190","Rewa","6,314"
"191","Bikaner","30,239"
"192","Surguja","15,732"
"193","Vizianagaram","6,539"
"194","Rampur","2,367"
"195","Baleshwar","3,806"
"196","Kheda","3,953"
"197","Gurdaspur","3,551"
"198","Purbi Singhbhum","3,562"
"199","South West Delhi","421"
"200","Erode","5,760"
"201","Khordha","2,813"
"202","North East Delhi","62"
"203","Supaul","2,425"
"204","Satna","7,502"
"205","Nawada","2,494"
"206","Mau","1,713"
"207","Chandrapur","11,443"
"208","Jalandhar","2,624"
"209","Dhar","8,153"
"210","Bijapur (Karnataka)","10,498"
"211","Jamnagar","14,184"
