Link,State,Caste
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0000C-13.xls,India,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0000C-13SC.xls,India,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0000C-13ST.xls,India,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3500C-13.xls,Andaman & Nicobar Islands UT,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-3500C-13ST.xls,Andaman & Nicobar Islands UT,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2800C-13.xls,Andhra Pradesh,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2800C-13SC.xls,Andhra Pradesh,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2800C-13ST.xls,Andhra Pradesh,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1200C-13.xls,Arunachal Pradesh,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1200C-13ST.xls,Arunachal Pradesh,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1800C-13.xls,Assam,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1800C-13SC.xls,Assam,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1800C-13ST.xls,Assam,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1000C-13.xls,Bihar,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1000C-13SC.xls,Bihar,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-1000C-13ST.xls,Bihar,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0400C-13.xls,Chandigarh UT,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-0400C-13SC.xls,Chandigarh UT,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2200C-13.xls,Chhattisgarh,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2200C-13SC.xls,Chhattisgarh,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2200C-13ST.xls,Chhattisgarh,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2600C-13.xls,Dadra & Nagar Haveli UT,C-13
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2600C-13SC.xls,Dadra & Nagar Haveli UT,C-13 SC
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2600C-13ST.xls,Dadra & Nagar Haveli UT,C-13 ST
https://censusindia.gov.in/2011census/C-series/c-13/DDW-2500C-13.xls,Daman & Diu UT,C-13
