Link,State
https://censusindia.gov.in/2011census/C-01/DDW00C-01%20MDDS.XLS,India
https://censusindia.gov.in/2011census/C-01/DDW35C-01%20MDDS.XLS,Andaman & Nicobar Islands UT
https://censusindia.gov.in/2011census/C-01/DDW28C-01%20MDDS.XLS,Andhra Pradesh
https://censusindia.gov.in/2011census/C-01/DDW12C-01%20MDDS.XLS,Arunachal Pradesh
https://censusindia.gov.in/2011census/C-01/DDW18C-01%20MDDS.XLS,Assam
https://censusindia.gov.in/2011census/C-01/DDW10C-01%20MDDS.XLS,Bihar
https://censusindia.gov.in/2011census/C-01/DDW04C-01%20MDDS.XLS,Chandigarh UT
https://censusindia.gov.in/2011census/C-01/DDW22C-01%20MDDS.XLS,Chhattisgarh
https://censusindia.gov.in/2011census/C-01/DDW26C-01%20MDDS.XLS,Dadra & Nagar Haveli UT
https://censusindia.gov.in/2011census/C-01/DDW25C-01%20MDDS.XLS,Daman & Diu UT
https://censusindia.gov.in/2011census/C-01/DDW07C-01%20MDDS.XLS,NCT of Delhi
https://censusindia.gov.in/2011census/C-01/DDW30C-01%20MDDS.XLS,Goa
https://censusindia.gov.in/2011census/C-01/DDW24C-01%20MDDS.XLS,Gujarat
https://censusindia.gov.in/2011census/C-01/DDW06C-01%20MDDS.XLS,Haryana
https://censusindia.gov.in/2011census/C-01/DDW02C-01%20MDDS.XLS,Himachal Pradesh
https://censusindia.gov.in/2011census/C-01/DDW01C-01%20MDDS.XLS,Jammu & Kashmir
https://censusindia.gov.in/2011census/C-01/DDW20C-01%20MDDS.XLS,Jharkhand
https://censusindia.gov.in/2011census/C-01/DDW29C-01%20MDDS.XLS,Karnataka
https://censusindia.gov.in/2011census/C-01/DDW32C-01%20MDDS.XLS,Kerala
https://censusindia.gov.in/2011census/C-01/DDW31C-01%20MDDS.XLS,Lakshadweep UT
https://censusindia.gov.in/2011census/C-01/DDW23C-01%20MDDS.XLS,Madhya Pradesh
https://censusindia.gov.in/2011census/C-01/DDW27C-01%20MDDS.XLS,Maharashtra
https://censusindia.gov.in/2011census/C-01/DDW14C-01%20MDDS.XLS,Manipur
https://censusindia.gov.in/2011census/C-01/DDW17C-01%20MDDS.XLS,Meghalaya
https://censusindia.gov.in/2011census/C-01/DDW15C-01%20MDDS.XLS,Mizoram
https://censusindia.gov.in/2011census/C-01/DDW13C-01%20MDDS.XLS,Nagaland
https://censusindia.gov.in/2011census/C-01/DDW21C-01%20MDDS.XLS,Odisha
https://censusindia.gov.in/2011census/C-01/DDW34C-01%20MDDS.XLS,Puducherry UT
https://censusindia.gov.in/2011census/C-01/DDW03C-01%20MDDS.XLS,Punjab
https://censusindia.gov.in/2011census/C-01/DDW08C-01%20MDDS.XLS,Rajasthan
https://censusindia.gov.in/2011census/C-01/DDW11C-01%20MDDS.XLS,Sikkim
https://censusindia.gov.in/2011census/C-01/DDW33C-01%20MDDS.XLS,Tamil Nadu
https://censusindia.gov.in/2011census/C-01/DDW16C-01%20MDDS.XLS,Tripura
https://censusindia.gov.in/2011census/C-01/DDW09C-01%20MDDS.XLS,Uttar Pradesh
https://censusindia.gov.in/2011census/C-01/DDW05C-01%20MDDS.XLS,Uttarakhand
https://censusindia.gov.in/2011census/C-01/DDW19C-01%20MDDS.XLS,West Bengal
