"","dist_name","state_name","state_code","dist_code","Area","Age","Total","TotalMales","TotalFemales","RuralPersons","RuralMales","RuralFemales","UrbanPersons","UrbanMales","UrbanFemales","% Male","% Rural","Area(km2)","pop/km2","Total_SC","% SC","Total_ST","% ST","Hindu","Muslim","Christian","Sikh","Buddhist","Jain","religion_Others","religion_Notstated","age_0-4","age_5-9","age_10-14","age_15-19","age_20-24","age_25-29","age_30-34","age_35-39","age_40-44","age_45-49","age_50-54","age_55-59","age_60-64","age_65-69","age_70-74","age_75-79","age_80-84","age_85+","age_Notstated","age_0-60","age_>60","age_>60_RuralFemales","age_>60_RuralMales","age_>60_RuralPersons","age_>60_TotalFemales","age_>60_TotalMales","age_>60_UrbanFemales","age_>60_UrbanMales","age_>60_UrbanPersons","age_0-60_RuralFemales","age_0-60_RuralMales","age_0-60_RuralPersons","age_0-60_TotalFemales","age_0-60_TotalMales","age_0-60_UrbanFemales","age_0-60_UrbanMales","age_0-60_UrbanPersons"
"1","Nicobars","Andaman and Nicobar Islands","35","638","District - Nicobars (01)","All ages",36842,20727,16115,36842,20727,16115,0,0,0,56.26,100,1841,20.0119500271592,NA,NA,23681,64.28,8681,1336,26077,343,119,0,248,38,3229,2576,2684,2773,3544,3980,3491,3332,2791,2474,1892,1380,972,722,454,242,143,117,46,34516,2280,1038,1242,2280,1038,1242,0,0,0,15057,19459,34516,15057,19459,0,0,0
"2","North & Middle Andaman","Andaman and Nicobar Islands","35","639","District - North  & Middle Andaman (02)","All ages",105597,54861,50736,102856,53457,49399,2741,1404,1337,51.95,97.4,3736,28.264721627409,NA,NA,758,0.72,81163,2165,21870,77,84,4,47,187,8297,9110,10495,9374,9386,10688,9113,8583,6906,6139,4638,3809,3545,2184,1514,817,524,433,42,97889,7666,3197,4248,7445,3273,4393,76,145,221,46187,49182,95369,47448,50441,1261,1259,2520
"3","South Andaman","Andaman and Nicobar Islands","35","640","District - South Andaman (03)","All ages",238142,127283,110859,97395,52103,45292,140747,75180,65567,53.45,40.9,2672,89.125,NA,NA,4091,1.72,174452,28912,33037,866,135,27,269,444,17228,18768,20288,20879,24185,27054,23119,20927,17038,15248,10766,8605,5859,3320,2130,1192,669,587,280,226338,11524,2343,3122,5465,5011,6513,2668,3391,6059,42905,48933,91838,105710,120628,62805,71695,134500
"4","Adilabad","Andhra Pradesh","28","532","District - Adilabad (01)","All ages",2741239,1369597,1371642,1980980,985303,995677,760259,384294,375965,49.96,72.27,16105,170.210431542999,488596,17.82,495794,18.09,2399901,275970,15422,1377,25510,617,322,22120,208808,256466,291813,280583,260882,237826,205149,195268,164943,139191,106868,83269,91285,60783,41190,17166,12185,9776,77788,2478866,184585,79309,64706,144015,101120,83465,21811,18759,40570,891247,893299,1784546,1233311,1245555,342064,352256,694320
"5","Nizamabad","Andhra Pradesh","28","533","District - Nizamabad (02)","All ages",2551335,1250641,1300694,1962963,958837,1004126,588372,291804,296568,49.02,76.94,7956,320.680618401207,371074,14.54,192941,7.56,2123426,391596,19653,2357,1847,542,146,11768,194793,228282,264999,246388,238689,226622,194416,192968,157554,131463,103161,83669,98405,63522,45906,18744,13779,10387,37588,2317784,195963,90698,69554,160252,110341,85622,19643,16068,35711,899011,875178,1774189,1171306,1146478,272295,271300,543595
"6","Karimnagar","Andhra Pradesh","28","534","District - Karimnagar (03)","All ages",3776269,1880800,1895469,2825044,1401950,1423094,951225,478850,472375,49.81,74.81,11823,319.400236826525,709757,18.8,106745,2.83,3491139,244723,24979,2086,332,312,115,12583,228896,285016,371045,367249,358220,329808,282262,290961,246670,211842,165896,133976,156440,106880,84138,36530,27881,16753,75806,3358596,341867,148616,135293,283909,178750,163117,30134,27824,57958,1242834,1234783,2477617,1678922,1679674,436088,444891,880979
"7","Medak","Andhra Pradesh","28","535","District - Medak (04)","All ages",3033288,1523030,1510258,2305417,1152806,1152611,727871,370224,357647,50.21,76,9699,312.742344571605,537947,17.73,168985,5.57,2637313,342449,34301,1309,554,457,217,16688,253162,286523,321072,299463,292001,283548,229396,225886,175967,148489,115440,94988,114728,76197,55849,23290,17580,11296,8413,2790054,234821,103676,93183,196859,123641,111180,19965,17997,37962,1047051,1057510,2104561,1382719,1407335,335668,349825,685493
"8","Hyderabad","Andhra Pradesh","28","536","District - Hyderabad (05)","All ages",3943323,2018575,1924748,0,0,0,3943323,2018575,1924748,51.19,0,217,18171.9953917051,247927,6.29,48937,1.24,2046051,1713405,87522,11446,1268,19560,1929,62142,326729,353598,377399,379760,414782,396862,332567,292188,245833,197655,157723,118014,99234,63579,44375,24049,15703,19992,83281,3629737,230305,0,0,0,112321,117984,112321,117984,230305,0,0,0,1771942,1857795,1771942,1857795,3629737
"9","Rangareddy","Andhra Pradesh","28","537","District - Rangareddy (06)","All ages",5296741,2701008,2595733,1577569,801013,776556,3719172,1899995,1819177,50.99,29.78,7493,706.891899105832,652042,12.31,218757,4.13,4458858,617518,144037,8062,2041,3536,1629,61060,445310,464289,484906,478399,534397,559687,459760,415783,316773,263548,200127,158063,151221,93807,62692,29870,20725,21532,135852,4849460,311429,59133,56663,115796,153958,157471,94825,100808,195633,701575,727955,1429530,2374432,2475028,1672857,1747073,3419930
"10","Mahbubnagar","Andhra Pradesh","28","538","District - Mahbubnagar (07)","All ages",4053028,2050386,2002642,3445336,1742438,1702898,607692,307948,299744,50.59,85.01,18432,219.890842013889,708954,17.49,364269,8.99,3673456,334172,21345,658,290,388,267,22452,355363,427116,447496,388794,372870,369235,304471,294408,231929,196717,157411,123586,143809,88534,65421,25730,19178,13761,27199,3749649,276180,128209,115825,244034,145215,130965,17006,15140,32146,1564708,1616236,3180944,1844362,1905287,279654,289051,568705
