"","state_name","state_code","dist_code","Area","Age","Total","TotalMales","TotalFemales","RuralPersons","RuralMales","RuralFemales","UrbanPersons","UrbanMales","UrbanFemales","% Male","% Rural","Area(km2)","pop/km2","Total_SC","% SC","Total_ST","% ST","Hindu","Muslim","Christian","Sikh","Buddhist","Jain","religion_Others","religion_Notstated","age_0-4","age_5-9","age_10-14","age_15-19","age_20-24","age_25-29","age_30-34","age_35-39","age_40-44","age_45-49","age_50-54","age_55-59","age_60-64","age_65-69","age_70-74","age_75-79","age_80-84","age_85+","age_Notstated","age_0-60","age_>60","age_>60_RuralFemales","age_>60_RuralMales","age_>60_RuralPersons","age_>60_TotalFemales","age_>60_TotalMales","age_>60_UrbanFemales","age_>60_UrbanMales","age_>60_UrbanPersons","age_0-60_RuralFemales","age_0-60_RuralMales","age_0-60_RuralPersons","age_0-60_TotalFemales","age_0-60_TotalMales","age_0-60_UrbanFemales","age_0-60_UrbanMales","age_0-60_UrbanPersons"
"1","Andaman and Nicobar Islands","35","000","State - ANDAMAN & NICOBAR ISLANDS (35)","All ages",380581,202871,177710,237093,126287,110806,143488,76584,66904,53.31,62.3,8249,46.1366226209237,NA,NA,28530,7.5,264296,32413,80984,1286,338,31,564,669,28754,30454,33467,33026,37115,41722,35723,32842,26735,23861,17296,13794,10376,6226,4098,2251,1336,1137,368,358743,21470,6578,8612,15190,9322,12148,2744,3536,6280,104149,117574,221723,168215,190528,64066,72954,137020
"2","Andhra Pradesh","28","000","State - ANDHRA PRADESH (28)","All ages",84580777,42442146,42138631,56361702,28243241,28118461,28219075,14198905,14020170,50.18,66.64,162968,519.00236242698,13878078,16.41,5918073,7,74824149,8082412,1129784,40244,36692,53849,9547,404100,6284765,7304432,8201595,8093747,8132094,7799036,6584371,6507339,5399473,4657269,3657386,2909598,3199837,2167854,1519358,636989,446665,307538,771431,77215533,6593813,2523468,2306527,4829995,3436417,3157396,912949,850869,1763818,25395169,25735100,51130269,38318469,38897064,12923300,13161964,26085264
"3","Arunachal Pradesh","12","000","State - ARUNACHAL PRADESH (12)","All ages",1383727,713912,669815,1066358,546011,520347,317369,167901,149468,51.59,77.06,83743,16.5234945010329,NA,NA,951821,68.79,401876,27045,418732,3287,162815,771,362553,6648,142879,171123,179359,155968,131696,123714,101171,94391,78603,63679,46110,29886,25445,14973,10647,5135,3673,3766,1509,1330680,51538,22153,23674,45827,24767,26771,2614,3097,5711,497662,521676,1019338,644398,686282,146736,164606,311342
"4","Assam","18","000","State - ASSAM (18)","All ages",31205576,15939443,15266133,26807034,13678989,13128045,4398542,2260454,2138088,51.08,85.9,78438,397.837476733216,2231321,7.15,3884371,12.45,19180759,10679345,1165867,20672,54993,25949,27118,50873,3212833,3544339,3491727,3068581,2909405,2815147,2330060,2260473,1831206,1595249,1192363,856825,775698,503642,385277,184352,121624,107951,18824,29490280,1696472,692788,725242,1418030,826273,870199,133485,144957,278442,12428090,12945895,25373985,14430930,15059350,2002840,2113455,4116295
"5","Bihar","10","000","State - BIHAR (10)","All ages",104099452,54278157,49821295,92341436,48073850,44267586,11758016,6204307,5553709,52.14,88.71,94163,1105.52395314508,16567325,15.91,1336573,1.28,86078686,17557809,129247,23779,25453,18914,13437,252127,12765029,15036277,13919882,9472695,8064735,7671705,7055737,6457261,5165692,4270374,3312740,2796678,3008008,2089779,1379531,550479,369054,310294,403502,97621056,6074894,2525618,2880460,5406078,2830541,3244353,304923,363893,668816,41583490,45002843,86586333,46807561,50813495,5224071,5810652,11034723
"6","Chandigarh","04","000","State - CHANDIGARH (04)","All ages",1055450,580663,474787,28991,17150,11841,1026459,563513,462946,55.02,2.75,114,9258.33333333333,199086,18.86,NA,NA,852574,51447,8720,138329,1160,1960,246,1014,81854,91194,93464,104418,121244,110237,90803,83672,68921,60352,46942,34925,25801,15839,11385,6422,4207,3424,346,996525,58579,402,509,911,28107,30472,27705,29963,57668,11437,16637,28074,446535,549990,435098,533353,968451
"7","Chhattisgarh","22","000","State - CHHATTISGARH (22)","All ages",25545198,12832895,12712303,19607961,9797426,9810535,5937237,3035469,2901768,50.24,76.76,135191,188.956350644643,3274269,12.82,7822902,30.62,23819789,514998,490542,70036,70467,61510,494594,23262,2541065,2758758,2884013,2599842,2389497,2057300,1815058,1779414,1576553,1334374,992947,789353,743742,533810,373000,166578,106011,80768,23115,23871226,1650857,712892,601187,1314079,887266,763591,174374,162404,336778,9090898,9188997,18279895,11814029,12057197,2723131,2868200,5591331
"8","Delhi","07","000","State - NCT OF DELHI (07)","All ages",16787941,8987326,7800615,419042,226321,192721,16368899,8761005,7607894,53.53,2.5,1484,11312.6287061995,2812309,16.75,NA,NA,13712100,2158684,146093,570581,18449,166231,2197,13606,1381200,1535972,1648147,1667375,1764060,1668326,1434699,1319244,1097197,911213,687469,508892,472019,272452,189250,100693,63028,50003,16702,15805792,965447,10913,11185,22098,475055,490392,464142,479207,943349,181572,214855,396427,7318033,8487759,7136461,8272904,15409365
"9","Goa","30","000","State - GOA (30)","All ages",1458545,739140,719405,551731,275436,276295,906814,463704,443110,50.68,37.83,3702,393.988384656942,25449,1.74,149275,10.23,963877,121564,366130,1473,1095,1109,258,3039,101203,105968,110989,113875,130745,132626,125859,126298,108512,94736,76592,65553,61104,41019,29055,16536,9246,6535,2094,1312343,144108,31916,25694,57610,78236,65872,46320,40178,86498,243945,249258,493203,640173,672170,396228,422912,819140
"10","Gujarat","24","000","State - GUJARAT (24)","All ages",60439692,31491260,28948432,34694609,17799159,16895450,25745083,13692101,12052982,52.1,57.4,196024,308.328021058646,4074447,6.74,8917174,14.75,53533988,5846761,316178,58246,30483,579654,16480,57902,5460332,5835836,6149445,5865760,5780722,5278822,4770528,4341225,3865476,3314013,2697183,2054947,1727752,1170072,899677,439996,295829,253233,238844,56144418,4056430,1325104,1102524,2427628,2167453,1888977,842349,786453,1628802,15513937,16637362,32151299,26667681,29476737,11153744,12839375,23993119
