Link,District
https://www.census2011.co.in/census/district/355-thane.html,Thane
https://www.census2011.co.in/census/district/11-north-twenty-four-parganas.html,North Twenty Four Parganas
https://www.census2011.co.in/census/district/242-bangalore.html,Bangalore
https://www.census2011.co.in/census/district/359-pune.html,Pune
https://www.census2011.co.in/census/district/356-mumbai-suburban.html,Mumbai Suburban
https://www.census2011.co.in/census/district/17-south-twenty-four-parganas.html,South Twenty Four Parganas
https://www.census2011.co.in/census/district/9-barddhaman.html,Barddhaman
https://www.census2011.co.in/census/district/188-ahmadabad.html,Ahmadabad
https://www.census2011.co.in/census/district/7-murshidabad.html,Murshidabad
https://www.census2011.co.in/census/district/435-jaipur.html,Jaipur
https://www.census2011.co.in/census/district/354-nashik.html,Nashik
https://www.census2011.co.in/census/district/206-surat.html,Surat
https://www.census2011.co.in/census/district/546-allahabad.html,Allahabad
https://www.census2011.co.in/census/district/18-paschim-medinipur.html,Paschim Medinipur
https://www.census2011.co.in/census/district/82-patna.html,Patna
https://www.census2011.co.in/census/district/12-hugli.html,Hugli
https://www.census2011.co.in/census/district/123-rangareddy.html,Rangareddy
https://www.census2011.co.in/census/district/10-nadia.html,Nadia
https://www.census2011.co.in/census/district/131-east-godavari.html,East Godavari
https://www.census2011.co.in/census/district/56-purbi-champaran.html,Purbi Champaran
https://www.census2011.co.in/census/district/19-purba-medinipur.html,Purba Medinipur
https://www.census2011.co.in/census/district/134-guntur.html,Guntur
https://www.census2011.co.in/census/district/15-haora.html,Haora
https://www.census2011.co.in/census/district/68-muzaffarpur.html,Muzaffarpur
https://www.census2011.co.in/census/district/244-belgaum.html,Belgaum
https://www.census2011.co.in/census/district/506-moradabad.html,Moradabad
https://www.census2011.co.in/census/district/511-ghaziabad.html,Ghaziabad
https://www.census2011.co.in/census/district/343-nagpur.html,Nagpur
https://www.census2011.co.in/census/district/21-chennai.html,Chennai
https://www.census2011.co.in/census/district/562-azamgarh.html,Azamgarh
https://www.census2011.co.in/census/district/528-lucknow.html,Lucknow
https://www.census2011.co.in/census/district/535-kanpur-nagar.html,Kanpur Nagar
https://www.census2011.co.in/census/district/360-ahmadnagar.html,Ahmadnagar
https://www.census2011.co.in/census/district/133-krishna.html,Krishna
https://www.census2011.co.in/census/district/16-kolkata.html,Kolkata
https://www.census2011.co.in/census/district/565-jaunpur.html,Jaunpur
https://www.census2011.co.in/census/district/59-madhubani.html,Madhubani
https://www.census2011.co.in/census/district/525-sitapur.html,Sitapur
https://www.census2011.co.in/census/district/521-bareilly.html,Bareilly
https://www.census2011.co.in/census/district/559-gorakhpur.html,Gorakhpur
https://www.census2011.co.in/census/district/517-agra.html,Agra
https://www.census2011.co.in/census/district/88-gaya.html,Gaya
https://www.census2011.co.in/census/district/364-solapur.html,Solapur
https://www.census2011.co.in/census/district/130-visakhapatnam.html,Visakhapatnam
https://www.census2011.co.in/census/district/73-samastipur.html,Samastipur
https://www.census2011.co.in/census/district/337-jalgaon.html,Jalgaon
https://www.census2011.co.in/census/district/140-chittoor.html,Chittoor
https://www.census2011.co.in/census/district/200-vadodara.html,Vadodara
https://www.census2011.co.in/census/district/504-muzaffarnagar.html,Muzaffarnagar
https://www.census2011.co.in/census/district/275-malappuram.html,Malappuram
https://www.census2011.co.in/census/district/526-hardoi.html,Hardoi
https://www.census2011.co.in/census/district/139-anantapur.html,Anantapur
https://www.census2011.co.in/census/district/495-raipur.html,Raipur
https://www.census2011.co.in/census/district/138-kurnool.html,Kurnool
https://www.census2011.co.in/census/district/124-mahbubnagar.html,Mahbubnagar
https://www.census2011.co.in/census/district/524-kheri.html,Kheri
https://www.census2011.co.in/census/district/22-kancheepuram.html,Kancheepuram
https://www.census2011.co.in/census/district/6-maldah.html,Maldah
https://www.census2011.co.in/census/district/71-saran.html,Saran
https://www.census2011.co.in/census/district/122-hyderabad.html,Hyderabad
https://www.census2011.co.in/census/district/67-darbhanga.html,Darbhanga
https://www.census2011.co.in/census/district/132-west-godavari.html,West Godavari
https://www.census2011.co.in/census/district/23-vellore.html,Vellore
https://www.census2011.co.in/census/district/55-pashchim-champaran.html,Pashchim Champaran
https://www.census2011.co.in/census/district/368-kolhapur.html,Kolhapur
https://www.census2011.co.in/census/district/2-jalpaiguri.html,Jalpaiguri
https://www.census2011.co.in/census/district/190-rajkot.html,Rajkot
https://www.census2011.co.in/census/district/550-sultanpur.html,Sultanpur
https://www.census2011.co.in/census/district/120-karimnagar.html,Karimnagar
https://www.census2011.co.in/census/district/20-thiruvallur.html,Thiruvallur
https://www.census2011.co.in/census/district/353-aurangabad.html,Aurangabad (Maharashtra)
https://www.census2011.co.in/census/district/438-jodhpur.html,Jodhpur
https://www.census2011.co.in/census/district/505-bijnor.html,Bijnor
https://www.census2011.co.in/census/district/520-budaun.html,Budaun
https://www.census2011.co.in/census/district/568-varanasi.html,Varanasi
https://www.census2011.co.in/census/district/429-alwar.html,Alwar
https://www.census2011.co.in/census/district/514-aligarh.html,Aligarh
https://www.census2011.co.in/census/district/168-north-west-delhi.html,North West Delhi
https://www.census2011.co.in/census/district/566-ghazipur.html,Ghazipur
https://www.census2011.co.in/census/district/13-bankura.html,Bankura
https://www.census2011.co.in/census/district/560-kushinagar.html,Kushinagar
https://www.census2011.co.in/census/district/412-ganjam.html,Ganjam
https://www.census2011.co.in/census/district/126-warangal.html,Warangal
https://www.census2011.co.in/census/district/8-birbhum.html,Birbhum
https://www.census2011.co.in/census/district/513-bulandshahar.html,Bulandshahr
https://www.census2011.co.in/census/district/594-ludhiana.html,Ludhiana
https://www.census2011.co.in/census/district/72-vaishali.html,Vaishali
https://www.census2011.co.in/census/district/125-nalgonda.html,Nalgonda
https://www.census2011.co.in/census/district/551-bahraich.html,Bahraich
https://www.census2011.co.in/census/district/28-salem.html,Salem
https://www.census2011.co.in/census/district/503-saharanpur.html,Saharanpur
https://www.census2011.co.in/census/district/27-viluppuram.html,Viluppuram
https://www.census2011.co.in/census/district/32-coimbatore.html,Coimbatore
https://www.census2011.co.in/census/district/509-meerut.html,Meerut
https://www.census2011.co.in/census/district/554-gonda.html,Gonda
