,State,District,use right,c11_dist_name,c11_state_name,note
1,State Unassigned,Unassigned,,,,
2,Andaman and Nicobar Islands,North and Middle Andaman,,North?&?Middle?Andaman,Andaman?and?Nicobar?Islands,
3,Andhra Pradesh,Foreign Evacuees,,-,,
4,Andhra Pradesh,Other State,,-,,
5,Andhra Pradesh,S.P.S. Nellore,,Sri?Potti?Sriramulu?Nellore,Andhra?Pradesh,
6,Andhra Pradesh,Y.S.R. Kadapa,,Y.S.R.,Andhra?Pradesh,
7,Arunachal Pradesh,Kamle,,,,"On 4 December 2017, a new district called Kamle district was created from Lower Subansiri District and Upper Subansiri District, with its headquarters to be located in Raga.[20] It comprises the administrative circles of Raga (which will be the district HQ), Kumporijo and Dollungmukh circles from Lower Subansiri District.[1] The administrative circles taken from Upper Subansiri District will be Gepen Circle, Puchigeko Circle, Daporijo Sadar which falls under 25 Raga Constituency including Ligu and Liruk demarcation from Sigen Subansiri confluence in Single Administrative Unit."
8,Arunachal Pradesh,Kra Daadi,,,,"On 7 February 2015, Kra Daadi district was carved out from the erstwhile Kurung Kumey district"
9,Arunachal Pradesh,Lepa Rada,,,,"On 30 August 2018, 3 new districts, Pakke-Kesang, Lepa-Rada and Shi-Yomi formed."
10,Arunachal Pradesh,Longding,,,,"On 19 March 2012, Longding district was carved out from the erstwhile Tirap district."
11,Arunachal Pradesh,Lower Siang,,,,"On 22 September 2017, Lower Siang district, was carved out of West Siang and East Siang districts."
12,Arunachal Pradesh,Namsai,,,,"On 25 November 2014, Namsai district was carved out from the erstwhile Lohit district."
13,Arunachal Pradesh,Pakke Kessang,,,,"On 30 August 2018, 3 new districts, Pakke-Kesang, Lepa-Rada and Shi-Yomi formed."
14,Arunachal Pradesh,Shi Yomi,,,,"On 30 August 2018, 3 new districts, Pakke-Kesang, Lepa-Rada and Shi-Yomi formed."
15,Arunachal Pradesh,Siang,,,,"On 27 November 2015, a new Siang district was carved out from parts of East Siang and West Siang districts."
16,Arunachal Pradesh,Upper Dibang Valley,,Dibang?Valley,Arunachal?Pradesh,
17,Assam,Airport Quarantine,,,,
18,Assam,Biswanath,,,,
19,Assam,Charaideo,,,,
20,Assam,Hojai,,,,
21,Assam,Majuli,,,,
22,Assam,Other State,,,,
23,Assam,South Salmara Mankachar,,,,
24,Assam,West Karbi Anglong,,,,
25,Bihar,Aurangabad,**,Aurangabad?(Bihar),Bihar,
26,Bihar,East Champaran,,Purbi?Champaran,Bihar,
27,Bihar,West Champaran,,Pashchim?Champaran,Bihar,
28,Chhattisgarh,Other State,,,,
29,Chhattisgarh,Balod,,,,
30,Chhattisgarh,Baloda Bazar,,,,
31,Chhattisgarh,Bametara,,,,
32,Chhattisgarh,Bijapur,**,Bijapur?(Chhattisgarh),Chhattisgarh,
33,Chhattisgarh,Bilaspur,**,Bilaspur?(Chhattisgarh),Chhattisgarh,
34,Chhattisgarh,Gariaband,,,,
35,Chhattisgarh,Kondagaon,,,,
36,Chhattisgarh,Mungeli,,,,
37,Chhattisgarh,Raigarh,**,Raigarh?(Chhattisgarh),Chhattisgarh,
38,Chhattisgarh,Sukma,,,,
